"participant","phase","trial","practice","stimulusId","length","pixelLength","category","judgedCategory","responseTime"
159,"training",1,"no",2,0.2,"166px",1,1,759
159,"training",2,"no",6,0.9,"446px",0,0,631
159,"training",3,"no",6,0.9,"446px",0,0,650
159,"training",4,"no",4,0.7,"366px",0,0,740
159,"training",5,"no",3,0.3,"206px",0,1,420
159,"training",6,"no",3,0.3,"206px",1,1,665
159,"training",7,"no",1,0.1,"126px",1,1,2227
159,"training",8,"no",1,0.1,"126px",1,1,689
159,"training",9,"no",6,0.9,"446px",0,0,430
159,"training",10,"no",4,0.7,"366px",0,0,723
159,"training",11,"no",4,0.7,"366px",1,0,801
159,"training",12,"no",2,0.2,"166px",1,1,804
159,"training",13,"no",5,0.8,"406px",0,0,556
159,"training",14,"no",3,0.3,"206px",0,1,1152
159,"training",15,"no",2,0.2,"166px",1,1,922
159,"training",16,"no",6,0.9,"446px",0,0,514
159,"training",17,"no",2,0.2,"166px",0,0,1100
159,"training",18,"no",1,0.1,"126px",1,1,659
159,"training",19,"no",5,0.8,"406px",0,0,633
159,"training",20,"no",5,0.8,"406px",1,0,639
159,"training",21,"no",4,0.7,"366px",1,0,803
159,"training",22,"no",2,0.2,"166px",1,1,762
159,"training",23,"no",4,0.7,"366px",0,0,724
159,"training",24,"no",5,0.8,"406px",0,0,1000
159,"training",25,"no",3,0.3,"206px",1,1,605
159,"training",26,"no",4,0.7,"366px",0,0,955
159,"training",27,"no",4,0.7,"366px",1,0,500
159,"training",28,"no",1,0.1,"126px",0,1,571
159,"training",29,"no",3,0.3,"206px",1,0,810
159,"training",30,"no",2,0.2,"166px",0,1,796
159,"training",31,"no",5,0.8,"406px",0,0,671
159,"training",32,"no",6,0.9,"446px",1,0,511
159,"training",33,"no",5,0.8,"406px",0,0,624
159,"training",34,"no",4,0.7,"366px",0,0,605
159,"training",35,"no",6,0.9,"446px",0,0,789
159,"training",36,"no",4,0.7,"366px",0,0,1099
159,"training",37,"no",5,0.8,"406px",1,0,892
159,"training",38,"no",1,0.1,"126px",1,1,708
159,"training",39,"no",1,0.1,"126px",1,1,621
159,"training",40,"no",2,0.2,"166px",1,1,704
159,"training",41,"no",3,0.3,"206px",1,1,682
159,"training",42,"no",1,0.1,"126px",1,1,1044
159,"training",43,"no",1,0.1,"126px",1,1,1131
159,"training",44,"no",5,0.8,"406px",0,0,1235
159,"training",45,"no",1,0.1,"126px",1,1,954
159,"training",46,"no",5,0.8,"406px",0,0,738
159,"training",47,"no",6,0.9,"446px",0,0,625
159,"training",48,"no",2,0.2,"166px",1,1,629
159,"training",49,"no",6,0.9,"446px",0,0,743
159,"training",50,"no",6,0.9,"446px",0,0,1085
159,"training",51,"no",3,0.3,"206px",0,1,1197
159,"training",52,"no",3,0.3,"206px",1,0,1107
159,"training",53,"no",3,0.3,"206px",1,1,796
159,"training",54,"no",2,0.2,"166px",1,1,685
159,"training",55,"no",6,0.9,"446px",0,0,539
159,"training",56,"no",3,0.3,"206px",1,0,575
159,"training",57,"no",4,0.7,"366px",0,0,632
159,"training",58,"no",1,0.1,"126px",1,1,1103
159,"training",59,"no",5,0.8,"406px",0,0,1012
159,"training",60,"no",2,0.2,"166px",1,1,635
159,"short",61,"yes",2,0.2,"166px",NA,NA,569
159,"short",62,"yes",5,0.8,"406px",NA,0,338
159,"short",63,"yes",6,0.9,"446px",NA,0,334
159,"short",64,"yes",1,0.1,"126px",NA,NA,516
159,"short",65,"yes",4,0.7,"366px",NA,NA,570
159,"short",66,"yes",3,0.3,"206px",NA,1,333
159,"short",67,"no",9,0.25,"186px",1,0,412
159,"short",68,"no",15,0.85,"426px",0,0,497
159,"short",69,"no",8,0.15,"146px",1,0,474
159,"short",70,"no",16,0.95,"466px",0,0,354
159,"short",71,"no",10,0.35,"226px",1,0,455
159,"short",72,"no",11,0.45,"266px",1,0,435
159,"short",73,"no",7,0.05,"106px",1,0,493
159,"short",74,"no",14,0.75,"386px",0,0,285
159,"short",75,"no",8,0.15,"146px",1,NA,514
159,"short",76,"no",13,0.65,"346px",0,0,395
159,"short",77,"no",9,0.25,"186px",1,NA,507
159,"short",78,"no",12,0.55,"306px",0,0,461
159,"short",79,"no",10,0.35,"226px",1,NA,515
159,"short",80,"no",12,0.55,"306px",0,0,5
159,"short",81,"no",16,0.95,"466px",0,1,329
159,"short",82,"no",13,0.65,"346px",0,0,686
159,"short",83,"no",14,0.75,"386px",0,NA,503
159,"short",84,"no",13,0.65,"346px",0,1,371
159,"short",85,"no",16,0.95,"466px",0,NA,526
159,"short",86,"no",7,0.05,"106px",1,0,280
